energia,parametro,libre
-0.65694581192,0.960963552995,-0.63135836521
-0.663648672606,0.999993903958,-0.640789132933
-0.65694581192,0.960963552995,-0.63135836521
-0.544243157027,0.994054147372,-0.514825659229
-0.663648672606,0.999993903958,-0.640789132933
-0.621284232046,0.998297920122,-0.593936981826
-0.64379818844,0.999999996338,-0.609508424086
-0.65694581192,0.960963552995,-0.63135836521
-0.583070820612,0.959196891892,-0.552960389798
-0.65694581192,0.960963552995,-0.63135836521
-0.65694581192,0.960963552995,-0.63135836521
-0.490183836975,0.980927534393,-0.454524705242
-0.574713139764,0.999690630551,-0.545010735171
-0.602282046697,0.999948546276,-0.572566811152
-0.65694581192,0.960963552995,-0.63135836521
-0.564383054402,0.954880005497,-0.536040728867
-0.540100492265,0.955524135267,-0.505575326138
-0.572404058383,0.999914274803,-0.540404543723
-0.533196527958,0.961093803895,-0.500825097087
-0.480988861275,0.973363413995,-0.443691838301
-0.607770043171,0.97841629372,-0.581371220993
-0.610035901905,0.999998749149,-0.578032183917
-0.531126318304,0.999036515127,-0.496884412575
-0.618002531935,0.994962109694,-0.588534537312
-0.577814902958,0.998917523644,-0.548150862171
-0.583074619698,0.953944554582,-0.555475592371
-0.609163006714,0.99988057872,-0.581737137315
-0.609163006714,0.99988057872,-0.581737137315
-0.568988813117,0.998937487674,-0.537037804825
-0.467944655387,0.994903340741,-0.427048425775
-0.382650809202,0.954061456244,-0.339610266895
-0.585669596239,0.977881853711,-0.554727946068
-0.577814902958,0.998917523644,-0.548150862171
-0.532924456829,0.993626030062,-0.498954278992
-0.618002531935,0.994962109694,-0.588534537312
-0.501884471775,0.939619857788,-0.472148260075
-0.532924456829,0.993626030062,-0.498954278992
-0.585088318279,0.997524942169,-0.557779719454
-0.60134383293,0.99205239124,-0.569730027873
-0.609163006714,0.99988057872,-0.581737137315
-0.583074619698,0.953944554582,-0.555475592371
-0.61788785281,0.999977915123,-0.588171155834
-0.585669596239,0.977881853711,-0.554727946068
-0.536701845975,0.987389450567,-0.503055571201
-0.585088318279,0.997524942169,-0.557779719454
-0.551049596316,0.99999964209,-0.51675984959
-0.638297328751,0.950616152069,-0.615751423382
-0.615820302654,0.989541711936,-0.588901267929
-0.583561007216,0.954812289013,-0.549313105761
-0.571807491694,0.999546861424,-0.542112225673
-0.441132489394,0.957389109921,-0.402141054203
-0.657214565981,0.99999828239,-0.627496855522
-0.553456754593,0.992228547756,-0.51727874627
-0.615820302654,0.989541711936,-0.588901267929
-0.638297328751,0.950616152069,-0.615751423382
-0.490618807506,0.950872414853,-0.456330839479
-0.438569870991,0.958381481053,-0.401896654664
-0.706084007898,0.998922189298,-0.680991792594
-0.656744700509,0.999999441326,-0.629312916681
-0.583561007216,0.954812289013,-0.549313105761
-0.706084007898,0.998922189298,-0.680991792594
-0.706084007898,0.998922189298,-0.680991792594
-0.706084007898,0.998922189298,-0.680991792594
-0.530211163024,0.957455354998,-0.502695953114
-0.677282976215,0.999972438992,-0.652138520364
-0.501044051825,0.962098943199,-0.470996347283
-0.711566625445,0.999789688366,-0.681859290937
-0.647601472169,0.999937496824,-0.622458754799
-0.556076856781,0.953228261755,-0.526287652526
-0.588380921334,0.951940405694,-0.563162309628
-0.599307232143,0.99984514518,-0.565025172005
-0.677282976215,0.999972438992,-0.652138520364
-0.476049593597,0.962632438481,-0.44009261368
-0.677282976215,0.999972438992,-0.652138520364
-0.551092526225,0.991380643849,-0.521797864692
-0.524992921649,0.963223109417,-0.49016068901
-0.580630486617,0.99556097933,-0.546564028749
-0.641057807389,0.998799632214,-0.615971609978
-0.506048903228,0.998363760025,-0.469554326031
-0.566993820163,0.993283072508,-0.533035184376
-0.432079048916,0.998439900423,-0.393294924486
-0.533391505934,0.999849087954,-0.496823265836
-0.723178029514,0.999136959696,-0.702647048149
-0.723178029514,0.999136959696,-0.702647048149
-0.634946761595,0.973284779653,-0.608782296992
-0.604081543643,0.999899691525,-0.574368738566
-0.631629851797,0.951255984043,-0.612207971359
-0.723178029514,0.999136959696,-0.702647048149
-0.631629851797,0.951255984043,-0.612207971359
-0.606702528467,0.980749407743,-0.577917172871
-0.507474740999,0.983586452987,-0.474090454576
-0.521547853415,0.996842802183,-0.480556368472
-0.723178029514,0.999136959696,-0.702647048149
-0.723178029514,0.999136959696,-0.702647048149
-0.661046835272,0.975184086943,-0.632510371365
-0.606702528467,0.980749407743,-0.577917172871
-0.634946761595,0.973284779653,-0.608782296992
-0.614599392058,0.999054631506,-0.582642574995
-0.540235654749,0.966406531788,-0.510466757907
-0.541266244129,0.973169411636,-0.508333145598
-0.681884628407,0.980799233073,-0.657661364861
-0.540186509114,0.999251644788,-0.505933970882
-0.681884628407,0.980799233073,-0.657661364861
